keywords,action,object,scene,intent_category,note,similar_keywords,url
image generator,,image,,general-image,image related utility.,photo picture pic image generator,https://www.krea.ai/features/ai-image-generator/
video generator,,video,,general-video,video related utility.,clip footage video generator,https://www.krea.ai/features/ai-video-generator/
upscaler,,,,unknown,,upscaler,https://www.krea.ai/features/ai-upscaler/
enterprise,,,,unknown,,enterprise,https://www.krea.ai/enterprise/
image,,image,,general-image,image related utility.,photo picture pic image,https://www.krea.ai/image/
realtime,,,,unknown,,realtime,https://www.krea.ai/realtime/
video,,video,,general-video,video related utility.,clip footage video,https://www.krea.ai/video/
motion transfer,,,,unknown,,motion transfer,https://www.krea.ai/motion-transfer/
3d,,,,unknown,,3d,https://www.krea.ai/3d/
enhancer,,,,unknown,,enhancer,https://www.krea.ai/enhancer/
edit,,,,unknown,,edit,https://www.krea.ai/edit/
animator,,,,unknown,,animator,https://www.krea.ai/animator/
video restyle,,video,,general-video,video related utility.,clip footage video restyle,https://www.krea.ai/video-restyle/
train,,,,unknown,,train,https://www.krea.ai/train/
assets,,,,unknown,,assets,https://www.krea.ai/assets/
image,,image,,general-image,image related utility.,photo picture pic image,https://www.krea.ai/image/
enhancer,,,,unknown,,enhancer,https://www.krea.ai/features/ai-enhancer/
image,,image,,general-image,image related utility.,photo picture pic image,https://www.krea.ai/image/
video,,video,,general-video,video related utility.,clip footage video,https://www.krea.ai/video/
video,,video,,general-video,video related utility.,clip footage video,https://www.krea.ai/video/
image,,image,,general-image,image related utility.,photo picture pic image,https://www.krea.ai/image/
teams,,,,unknown,,teams,https://www.krea.ai/pricing/teams/
feed,,,,unknown,,feed,https://www.krea.ai/feed/
discord,,,,unknown,,discord,https://www.krea.ai/discord/
nano banana,,,,unknown,,nano banana,https://www.krea.ai/nano-banana/
nodes,,,,unknown,,nodes,https://www.krea.ai/nodes/
lipsync,,,,unknown,,lipsync,https://www.krea.ai/lipsync/
hold product,,,,unknown,,hold product,https://www.krea.ai/apps/edit/hold-product/
flux krea,,,,unknown,,flux krea,https://www.krea.ai/apps/image/flux-krea/
wan t2i,,,,unknown,,wan t2i,https://www.krea.ai/apps/image/wan-t2i/
qwen,,,,unknown,,qwen,https://www.krea.ai/apps/image/qwen/
t shirt design maker,,,,unknown,,t shirt design maker,https://www.krea.ai/apps/image/t-shirt-design-maker/
nano banana pro,,,,unknown,,nano banana pro,https://www.krea.ai/apps/edit/nano-banana-pro/
remove text,remove,text,,remove-text,Remove unwanted parts or artifacts from the text.,erase delete strip document copy remove text,https://www.krea.ai/apps/edit/remove-text/
hairstyle changer,,,,unknown,,hairstyle changer,https://www.krea.ai/apps/edit/ai-hairstyle-changer/
remove object,remove,,,remove-general,Remove unwanted parts or artifacts from the content.,erase delete strip remove object,https://www.krea.ai/apps/edit/remove-object/
change lighting,,,,unknown,,change lighting,https://www.krea.ai/apps/edit/change-lighting/
cartoonify,,,,unknown,,cartoonify,https://www.krea.ai/apps/edit/cartoonify/
colorize,colorize,,,colorize-general,Add or fix color in the content.,add-color recolor colorize,https://www.krea.ai/apps/edit/colorize/
change clothes,,,,unknown,,change clothes,https://www.krea.ai/apps/edit/change-clothes/
architecture,,,,unknown,,architecture,https://www.krea.ai/architecture/
chat,,,,unknown,,chat,https://www.krea.ai/chat/
stage,,,,unknown,,stage,https://www.krea.ai/stage/
models,,,,unknown,,models,https://www.krea.ai/models/
articles,,,,unknown,,articles,https://www.krea.ai/articles/
nodes,,,,unknown,,nodes,https://www.krea.ai/features/nodes/
image editor,,image,,general-image,image related utility.,photo picture pic image editor,https://www.krea.ai/features/ai-image-editor/
video,,video,,general-video,video related utility.,clip footage video,https://www.krea.ai/video/
enhancer,,,,unknown,,enhancer,https://www.krea.ai/enhancer/
enhancer,,,,unknown,,enhancer,https://www.krea.ai/enhancer/
user,,,,unknown,,user,https://docs.krea.ai/user-guide/
introduction,,,,unknown,,introduction,https://docs.krea.ai/developers/introduction/
introduction,,,,unknown,,introduction,https://docs.krea.ai/api-reference/introduction/
discord,,,,unknown,,discord,https://krea.ai/discord/
text to image,,image,,general-image,image related utility.,photo picture pic text to image,https://docs.krea.ai/developers/examples/text-to-image/
interactiveexample,,,,unknown,,interactiveexample,https://docs.krea.ai/developers/interactiveexample/
krea1,,,,unknown,,krea1,https://docs.krea.ai/user-guide/features/krea1/
krea realtime 14b,,,,unknown,,krea realtime 14b,https://www.krea.ai/blog/krea-realtime-14b/
flux krea open source release,,,,unknown,,flux krea open source release,https://www.krea.ai/blog/flux-krea-open-source-release/
new krea,,,,unknown,,new krea,https://www.krea.ai/blog/new-krea/
introducing teams,,,,unknown,,introducing teams,https://www.krea.ai/blog/introducing-teams/
ship week,,,,unknown,,ship week,https://www.krea.ai/blog/ship-week/
enhance,enhance,,,enhance-general,"Improve quality of the content (sharpness, contrast, detail).",improve boost refine enhance,https://www.krea.ai/apps/enhance/
polaroid,,,,unknown,,polaroid,https://www.krea.ai/apps/polaroid/
sora 2,,,,unknown,,sora 2,https://www.krea.ai/apps/video/sora-2/
veo31,,,,unknown,,veo31,https://www.krea.ai/apps/video/veo31/
movie poster,,poster,,general-poster,poster related utility.,movie poster,https://www.krea.ai/apps/edit/movie-poster/
nano banana edit,,,,unknown,,nano banana edit,https://www.krea.ai/apps/edit/nano-banana-edit/
image to image,,image,,general-image,image related utility.,photo picture pic image to,https://www.krea.ai/apps/edit/image-to-image/
image,,image,,general-image,image related utility.,photo picture pic image,https://www.krea.ai/image/
image,,image,,general-image,image related utility.,photo picture pic image,https://www.krea.ai/image/
image,,image,,general-image,image related utility.,photo picture pic image,https://www.krea.ai/image/
krea 1,,,,unknown,,krea 1,https://www.krea.ai/models/krea-1/
nano banana pro,,,,unknown,,nano banana pro,https://www.krea.ai/models/nano-banana-pro/
kling,,,,unknown,,kling,https://www.krea.ai/models/kling/
runway,,,,unknown,,runway,https://www.krea.ai/models/runway/
sora2,,,,unknown,,sora2,https://www.krea.ai/models/sora2/
veo3,,,,unknown,,veo3,https://www.krea.ai/models/veo3/
veo3.1,,,,unknown,,veo3.1,https://www.krea.ai/models/veo3.1
freepik spaces vs krea nodes,,,,unknown,,freepik spaces vs krea nodes,https://www.krea.ai/articles/freepik-spaces-vs-krea-nodes/
weavy vs imagine art flow,,,,unknown,,weavy vs imagine art flow,https://www.krea.ai/articles/weavy-vs-imagine-art-flow/
top node based workflow,,,,unknown,,top node based workflow,https://www.krea.ai/articles/top-node-based-ai-workflow-apps/
figma weave vs fal,,,,unknown,,figma weave vs fal,https://www.krea.ai/articles/figma-weave-vs-fal/
flora vs figma weave,,,,unknown,,flora vs figma weave,https://www.krea.ai/articles/flora-vs-figma-weave/
invokeai vs flora,,,,unknown,,invokeai vs flora,https://www.krea.ai/articles/invokeai-vs-flora/
fal vs flora,,,,unknown,,fal vs flora,https://www.krea.ai/articles/fal-vs-flora/
sora 2,,,,unknown,,sora 2,https://www.krea.ai/articles/sora-2/
visual electric vs krea,,,,unknown,,visual electric vs krea,https://www.krea.ai/articles/visual-electric-vs-krea/
nano banana,,,,unknown,,nano banana,https://www.krea.ai/articles/nano-banana/
seedream 4,,,,unknown,,seedream 4,https://www.krea.ai/articles/seedream-4-guide/
midjourney vs krea,,,,unknown,,midjourney vs krea,https://www.krea.ai/articles/midjourney-vs-krea/
image generators 2025,,image,,general-image,image related utility.,photo picture pic image generators 2025,https://www.krea.ai/articles/ai-image-generators-2025/
postman,,,,unknown,,postman,https://docs.krea.ai/api-reference/postman/
get a job by id,,,,unknown,,get a job by id,https://docs.krea.ai/api-reference/general/get-a-job-by-id/
delete a job by id,,,,unknown,,delete a job by id,https://docs.krea.ai/api-reference/general/delete-a-job-by-id/
list assets,,,,unknown,,list assets,https://docs.krea.ai/api-reference/assets/list-assets/
upload an asset,,,,unknown,,upload an asset,https://docs.krea.ai/api-reference/assets/upload-an-asset/
get an asset,,,,unknown,,get an asset,https://docs.krea.ai/api-reference/assets/get-an-asset/
delete an asset,,,,unknown,,delete an asset,https://docs.krea.ai/api-reference/assets/delete-an-asset/
train a custom style lora,,,,unknown,,train a custom style lora,https://docs.krea.ai/api-reference/styles/train-a-custom-style-lora/
